donor,year,value
Nepal,2024,0
Nigeria,2024,0
Occupied Palestinian Territory,2024,0
Pakistan,2024,0
Papua New Guinea,2024,0
Paraguay,2024,0
Saint Lucia,2024,0
Saint Vincent and the Grenadines,2024,0
Samoa,2024,0
Serbia,2024,0
Sri Lanka,2024,0
Sudan,2024,0
Tajikistan,2024,0
"Tanzania, United Republic of",2024,0
Timor-Leste,2024,0
Togo,2024,0
Tonga,2024,0
Trinidad and Tobago,2024,0
Tunisia,2024,0
Ukraine,2024,0
Uruguay,2024,0
Uzbekistan,2024,0
"Venezuela, Bolivarian Republic of",2024,0
"Virgin Islands, British",2024,0
Zambia,2024,0
